Culture	Culture_Notes	Glottocode	v1.Traditional_Time_Focus	v1.Source	v2.God(s)	v2.Source	v3.Nature_god(s)	v3.Source	v4.Deified_ancestor(s)	v4.Source	v5.Ancestral_spirits	v5.Source	v6.Nature_Spirits	v6.Source	v7.Supernatural_punishment_for_impiety	v7.Source	v8.Primordial_pair	v8.Source	v9.Myth_of_humanity’s_creation	v9.Source	v10.The_actions_of_others_after_one_has_died_can_affect_the_nature_of_one's_afterlife	v10.Source	v11.One's_actions_while_living_can_affect_the_nature_of_one's_afterlife	v11.Source	v12.Culture_hero(es)	v12.Source	v13.Forces_of_nature_are_controlled_by_or_imbued_with_the_supernatural	v13.Source	v14.Social_hierarchy_tapu	v14.Source	v15.Kinship_tapu	v15.Source	v16.Resource_management_tapu	v16.Source	v17.Mana_and_social_status	v17.Source	v18.Mana_related_to_social_influence_or_technical_skill	v18.Source	v19.Mana_linked_to_genealogy	v19.Source	v20.Mana_as_a_personal_quality	v20.Source	v21.Mana_as_a_spiritual_or_religious_concept	v21.Source	v22.Pre-Austronesian_population	v22.Source	v23.Christian_influence_on_supernatural_belief	v23.Source	v24.Hindu_/_Buddhist_influence_on_supernatural_belief	v24.Source	v25.Contact_with_other_cultures	v25.Source	v26.Islamic_influence_on_supernatural_belief	v26.Source	v27.Distance_to_closest_landmass_inhabited_by_a_different_culture_(km)	v27.Source	v28.Distance_to_nearest_continent_(km)	v28.Source	v29.Longitude	v29.Source	v30.Latitude	v30.Source	v31.Number_of_islands_inhabited_by_culture	v31.Source	v32.Island_type_(island_with_largest_culture_population_or_largest_island_if_unknown)	v32.Source	v33.Maximum_elevation_(meters)	v33.Source	v34.Island_Size_(km²)	v34.Source	v35.Costly_sacrifices_and_offerings	v35.Source	v36.Headhunting	v36.Source	v37.Political_and_religious_differentiation	v37.Source	v38.Largest_religious_community	v38.Source	v39.Genital_cutting	v39.Source	v40.Tooth_pulling	v40.Source	v41.Tattooing	v41.Source	v42.Scarification	v42.Source	v43.Piercing	v43.Source	v44.Population	v44.Source	v45.Importance_of_Matrilateral_descent	v45.Source	v46.Importance_of_Patrilateral_descent	v46.Source	v47.Polygamy	v47.Source	v48.Marital_residence	v48.Source	v49.Kinship_system	v49.Source	v50.Population_of_largest_political_community	v50.Source	v51.Conflict_within_community	v51.Source	v52.(No)_internal_warfare	v52.Source	v53.(No)_external_warfare	v53.Source	v54.Metalworking	v54.Source	v55.Animal_husbandry_as_a_source_of_food	v55.Source	v56.Land-based_hunting_performed_by_individuals	v56.Source	v57.Land-based_gathering	v57.Source	v58.Land-based_hunting_performed_by_one_or_more_groups	v58.Source	v59.Agriculture_/_Horticulture	v59.Source	v60.Water-based_gathering	v60.Source	v61.Fishing_and_water-based_hunting_performed_by_one_or_more_groups	v61.Source	v62.Fishing_and_water-based_hunting_performed_by_individuals	v62.Source	v63.Trade_/_wage_labour_as_a_source_of_food	v63.Source	v64.Role_of_social_status_in_conversion_process	v64.Source	v65.Use_of_force_in_conversion	v65.Source	v66.Adoption_of_a_world_religion	v66.Source	v67.Resident_missionary_involvement_in_conversion_process	v67.Source	v68.Syncretic_religious_movements	v68.Source	v69.Immigration	v69.Source	v70.Language_shift	v70.Source	v71.Foreign_education_systems	v71.Source	v72.Foreign_government_systems	v72.Source	v73.Changes_in_means_of_subsistence	v73.Source	v74.Exportation_of_goods_to_other_cultures	v74.Source	v75.Vehicles_and_roads	v75.Source	v76.Air_travel	v76.Source	v77.Sea_port	v77.Source	v78.Loss_of_political_autonoomy	v78.Source	v79.Nature_of_loss_of_autonomy	v79.Source	v80.Contemporary_Time_Focus	v80.Source	v81.Unofficial_religious_syncretism	v81.Source	v82.Institutional_religious_syncretism	v82.Source	v83.Dominant_world_religion	v83.Source
Rejang		reja1240	1771	marsden1784[249-259]; jaspan-1964[2-3]	2	marsden1784[250-252]; jaspan-1964	2	jaspan-1964[254]	2	jaspan-1964[54]; marsden1784[252]	1	jaspan-1964	2	jaspan-1964[77]	1	jaspan-1964[19, 54, 125]									2	jaspan-king1981[5-6]					1	jaspan-1964[8, 9]					0	blust2007; keesing1984; blevins2008[262]			0	blust2007; keesing1984; blevins2008[262]	0	2007boerger; keesing1984; blevins2008[262]	2	bellwood_1995[109]	1	jaspan-1964	2	jaspan-1964[77, 147]	1	lebar1972[33]	1	jaspan-king1981[76, 78]	0	jaspan-1964[1]	518.9	jaspan-1964[1]; daft-logic-distance-calculator2014	102.8	jaspan-1964[11-12]; google-mapsnone	-3.4	jaspan-1964[11-12]; google-mapsnone	1	jaspan-1964[1]	4	sunda-shelf2016	3800	sumatra2017	480793	sumatra2017			0	jaspan-1964; marsden1784	2	jaspan-1964	4	jaspan-1964[109]	0	marsden1784[38-47, 248]	0	marsden1784[38-47]	0	marsden1784[38-47]	0	marsden1784[38-47]	2	marsden1784[47]	50000	1856crawfurd[365]; reid-1987[36]	1	jaspan-1972b[32, 33-34]	3	jaspan-1972b[32, 33-34]	2	jaspan-1972b[33]	3	jaspan-1972b[33]			4	marsden1784[172-177]; jaspan-1964[1-88]; 1856crawfurd[365]; reid-1987[36]	3	jaspan-1964[35, 82-83, 258]	1	jaspan-1964[259]	1	jaspan-1964[259]; jaspan-1972b[33-34]	1	marsden1784[143-144]	3	marsden1784[56, 94]	1	marsden1784[56-158]	2	marsden1784[56-158, 58]	1	marsden1784[56-158]	4	marsden1784[56, 59, 72]; jaspan-1964[58]	0	marsden1784[56-158]	1	jaspan-1964[9]; marsden1784[56-158]	1	jaspan-1964[9]; marsden1784[56-158]	1	jaspan-1964[9]; marsden1784[140-158]	3	jaspan-1964[66, 75]	0	jaspan-1964[66, 75]	3	jaspan-1964[75]	1	jaspan-1964[66, 75]	0	jaspan-1964	1	znoj1998[197]	2	eberhard2020; birt2008[67]	3	nelson1995[214]	2	jaspan-king1981[7, 12]			2	znoj1998[202]; nelson1995[199]; birt2008[164]	2	birt2008[92-94, 139]			1	national-geospatial-intelligence-agency2009[158]; birt2008[139]	3	jaspan-1964[51]; jaspan-king1981[7]	2	jaspan-1964[51]; jaspan-king1981[7]	2014		2	birt2008[71]; nelson1995[201]	1	birt2008[51, 71]	2	rejang2014
Rennell		renn1242	1933	birket-smith1969[16, 22-23]	2	birket-smith1969[22-23, 50, 59-60]	1		2		2	birket-smith1969[59-60, 115-116]; elbert-monberg1965[17]	0		1	monberg1962	0		0		0	birket-smith1969[115-116]	0	birket-smith1969[115-116]	1	monberg1991[24, 63-71, 98-106]	1	birket-smith1969[22-23]	1	birket-smith1969[41, 44]	1		1	birket-smith1969[44]			0	blust2007			0	blust2007[412]	1	blust2007	0	bellwood_1995[109, 123]	1	birket-smith1969[15]	0	cribb2000[Map 2.21]	1	birket-smith1969[116]	0	cribb2000[Map 2.23]	23	birket-smith1969[8]; daft-logic-distance-calculator2014	1543	daft-logic-distance-calculator2014	160.3	birket-smith1969[8]; google-mapsnone	-11.6	birket-smith1969[8]	1	birket-smith1969[8]	1	birket-smith1969[8]	160	birket-smith1969[8]	650	birket-smith1969[8]	0		0	birket-smith1969[127]	1	birket-smith1969[41, 45]	3	birket-smith1969[38-45, 59-63, 116-117]	0	birket-smith1969[111]	0	birket-smith1969[22-38, 105-116]	2	birket-smith1969[107-111]	1	birket-smith1969[105-116]	1	birket-smith1969[38, 105-116]	1000	birket-smith1969[30]	1	birket-smith1969[112]	3	birket-smith1969[112]	3	birket-smith1969[112]	3	hays-1991G[277]			2	birket-smith1969[18, 30, 38-41, 116-117]	2	birket-smith1969[44]; elbert-monberg1965[16]	1	birket-smith1969[116-117]; elbert-monberg1965[16]	3	birket-smith1969[116]; kuschel1988a	0	birket-smith1969[89-104]	1	birket-smith1969[76-77]	1	birket-smith1969[75-81]	2	birket-smith1969[80, 81]	0	birket-smith1969[75-81]	4	birket-smith1969[56-57, 81]	2	birket-smith1969[14, 80-81]	2	birket-smith1969[64-75, 80-81]	1	birket-smith1969[64-75]	0	birket-smith1969[16]	1	birket-smith1969[16-17]; monberg1962	0	monberg1962	3	birket-smith1969[21]	0	monberg1962	0	solomon-islands-government2001b[5]; elbert-monberg1965[19]	0	solomon-islands-government2001b[10-12]	1	solomon-islands-government2001b[10]	3	solomon-islands-government2001b[23]	2	solomon-islands-government2001b[7]	1	solomon-islands-government2001b[17-19]	1	solomon-islands-government2001b[19-20]	1	solomon-islands-government2001b[14]	1	solomon-islands-government2001b[14]	0	solomon-islands-government2001b[14]	3	solomon-islands-government2001b[6]	0	kuschel1988a	2014		1	solomon-islands-government2001[5]; elbert-monberg1965[19]	1	solomon-islands-government2001[5]; elbert-monberg1965[19]	1	solomon-islands-government2001b[6]
Roti	Like its neighbour Savu, Roti is dry and not very fertile. Historically, the islanders subsisted primarily upon the sap of the lontar palm, which grows abundantly on the island. The indigenous Rotinese religion involved two classes of spirits: spirits of the inside (benevolent ancestral spirits), and spirits of the outside (malevolent spirits of unknown origin). While Christianity has been practiced on Roti for centuries, most of the population did not convert until well into the twentieth century.	term1237	1843	fox1993[214]; fox1973[342]	1	fox1973[342-368, 346, 353]	0	fox1973[342-368, 346]	2	fox1973[342-368, 348]	3	fox1973[342-368, 346-349]	0	fox1973[342-368]	1	fox1973[347]					2	fox1973[358-363]	1	fox1973[354, 363-363]	0	fox1973[342-368]	1	fox1973[346]			1	fox1973[363-363]					0	blevins2008[261]			1	blevins2008[261]	1	blevins2008[261]	2	bellwood_1995[109]	1	fox1993[214]; fox1973[346-368]	1	cribb2000[Map 2.21]; fox1973[346-368]	1	fox1977[61-159]	0	carnegie2010[460]	12	fox1993[212]; daft-logic-distance-calculator2014	459	fox1993[212]; daft-logic-distance-calculator2014	123.2	fox-1968[1]; google-mapsnone	-10.7	fox-1968[1]; google-mapsnone	1	fox-1968[1]	3	harris2011[163, 167]	430	fox-1968[1]	1250	fox-1968[1]	1	fox1973	0	fox1993[214]	2	fox-1968[120-187]	3	fox-1968[1-169, 120-187]; fox1977[85]											40000	fox1977[149, 151]	2	fox1993[213, 214]	3	fox1993[213, 214]	3	fox1993[214]					4	fox1977[151]	3	fox1993[214]; fox1977[81]	4	fox1977[79-80]	4	fox1977[127-159]	0	fox1993[213]	2	fox1977[27-47, 29, 41-43]; fox1993[213]	1	fox1993[213]	4	fox1977[23-24, 29]; fox1993[213]	1	fox1993[213]	3	fox1977[29-30]; fox1993[213]	2	fox1977[28]; fox1993[213]	1	fox1977[28]; fox1993[213]; fox1973[345-346]	3	fox1977[28]; fox1993[213]	2	fox1977[17-47, 36]	1	fox1983[15]	0	fox1993[214]	3	carnegie2010[460]	0	fox1977[129]	0	fox1983	0	carnegie2010[460-462, 466]	1	carnegie2010[466-467]	3	fox1993[212]	2	fox1993[212]	2	carnegie2010[462]; fox1993[213]	1	fox1993[213]; carnegie2010[462]					1	google-mapsnone; national-geospatial-intelligence-agency2009[162]; daft-logic-distance-calculator2014	3	carnegie2010[462, 471]	1	carnegie2010[462]	2014						1	carnegie2010[460]
Rotuma		rotu1241	1839	gardiner-1898a; gardiner-1898b	3	gardiner-1898b	2	gardiner-1898b	2	gardiner-1898a; gardiner-1898b	1	gardiner-1898b	0	gardiner-1898b	1	gardiner-1898b	0	gardiner-1898b	0	gardiner-1898b	1	gardiner-1898b	0	gardiner-1898b	2	gardiner-1898a; gardiner-1898b	1	gardiner-1898b	1	gardiner-1898b			0	gardiner-1898a; gardiner-1898b											0	bellwood_1995[109]	1	howard-1991[281]	0	cribb2000[Map 2.21]	1	howard-1991[281]	0	cribb2000[Map 2.23]	198	howard-1991[280]; daft-logic-distance-calculator2014	1799	howard-1991[280]; daft-logic-distance-calculator2014	177.1	howard-1991[280]; google-mapsnone	-12.5	howard-1991[280]; google-mapsnone	1	howard-1991[280]	2	howard-1991[280]	260	howard-1991[280]	44	howard-1991[280]	1	gardiner-1898b	0	gardiner-1898b	3	gardiner-1898a; gardiner-1898b	4	gardiner-1898b	2	gardiner-1898b	0	gardiner-1898a	2	gardiner-1898b	1	gardiner-1898a	0	gardiner-1898a	4500	gardiner-1898b	2	howard-1991[282]	2	howard-1991[282]			1	gardiner-1898b	4	howard-1991[282]	3	gardiner-1898a; gardiner-1898b	4	gardiner-1898a	1	howard-1991[283]	4	gardiner-1898a; gardiner-1898b	0	gardiner-1898a; gardiner-1898b	2	gardiner-1898a	2	gardiner-1898a	2	gardiner-1898a	0	gardiner-1898a	4	gardiner-1898a	3	gardiner-1898a	3	gardiner-1898a	3	gardiner-1898a							3	gardiner-1898a	2	howard-1991[283]									2	howard-1991[282]			2	howard-1991[281]	2	howard-1991[281]					3	howard-1991[282]	0	howard-1991[281]								
Roviana	Roviana is the name given to a large lagoon on the south coast of New Georgia in the Western Solomon Islands, to the people living on the shores of this lagoon, and to the language spoken to these people. The people of Roviana were one of the few peoples in the Solomon Islands to practice headhunting. In the second half of the nineteenth century, the Roviana and their allies conducted extensive headhunting raids upon islands to the east, resulting in widespread depopulation.	rovi1238	1902	goldie1909[23]	2	thomas2003[180-181]	2		2	thomas2003[85-88]	2	thomas2003[82]	0	thomas2003	1	aswani2000[59]; thomas2003[82]	0		0		2	thomas2003[82]	0	thomas2003[82]	2	thomas-et-al2001[566-567]	1	thomas2003[180-181]	0		0		0		1	walter-et-al2004[154]; sheppard-et-al2000[11]	1	walter-et-al2004[154]	3	walter-et-al2004[154]; aswani-sheppard2003[S55]	1	walter-et-al2004[154]	1	thomas2003[236]; walter-et-al2004[154]	2	bellwood_1995[109]; nagaoka2011[25]	1	aswani-sheppard2003[S62]	0	cribb2000[Map 2.21]	1	aswani-sheppard2003[S56, S62]	0	cribb2000[Map 2.23]	0	tryon-hackman-1983[23]	1474	tryon-hackman-1983[23]; daft-logic-distance-calculator2014	157.5	thomas2003[2]; google-mapsnone	-8.1	thomas2003[2]; google-mapsnone	4	sheppard-et-al2000[12]	2	walter-sheppard2000[299]	860	clarke-bedford[64]	3365	clarke-bedford[64]	1	walter-et-al2004[153]	1	goldie1909[26]	2	aswani2008[181, 183-184]; thomas2003[112]	3		0	somerville1897[394]	0	somerville1897[362-365, 394]	0	somerville1897[365]	1	somerville1897[365]	1	somerville1897[361-362]	3500	mccracken-2000[50-51]	3	walter-et-al2004[154]; thomas2003[100]	2	walter-et-al2004[154]; thomas2003[100]	2	goldie1909[27]	3				2	nagaoka2011[318]	2	aswani2008[186]	2	aswani2008[186]; thomas2003[107-109]	1	goldie1909[25-26]; thomas2003[107-108]			1		2		2		2		2	walter-sheppard2000	3	walter-sheppard2000	3	walter-sheppard2000	3	walter-sheppard2000	4	sheppard-walter-2013[3138, 142, 144-145]	3	luxton-1955[23-49]	0	luxton-1955[23-49]	3	walter-sheppard2000	2	luxton-1955[23-49]	2	mcdougall2008[4]; nagaoka1999[119]	0	aswani2002[275-278]	3		3	terrill-dunn2003[191]	2	thomas2003[133]; kile-et-al2000[7-8]	2	aswani-furusawa2007[549]	2	aswani-furusawa2007[549]	1	furusawa-ohtsuka2006[30]; google-mapsnone	0	furusawa-ohtsuka2006[30]	1	national-geospatial-intelligence-agency2009[180]; daft-logic-distance-calculator2014	3	walter-sheppard2000[298]; thomas2003[133]	2	walter-sheppard2000[298]; thomas2003[132]	2014		1		2	mcdougall2008[4]; nagaoka1999[119]	1	walter-sheppard2000[316]; mcdougall2008[4]
Sa'a	Sa'a-speakers of Maramasike (Small Malaita), Ulawa, Uki Ni Masi and the Three Sisters Islands.	saaa1240	1896	ivens1972[xv]	2	ivens1972[199-207]	0	ivens1972[178-207]	2	ivens1972[179-181]	2	ivens1972[187]	1	ivens1972[178-207]	1	ivens1972[185]					1	ivens1972[179]	1	ivens1972[182]	1	ivens1972[178-207]	1	ivens1972[200]																											0	tryon-hackman-1983[24]	1775	tryon-hackman-1983[24]	161.5	tryon-hackman-1983[24]	-9.6	tryon-hackman-1983[24]	4	tryon-hackman-1983[24]			518	clarke-bedford[64]	481	clarke-bedford[64]	1	ivens1972[241]	0	ivens1972	3	ivens1972[109-129, 160-177, 242-245]	2	ivens1972[28-29, 242-245]	0	ivens1972[82-86]	0	ivens1972[82-86]	2	ivens1972[83]	1	ivens1972[82-86]	2	ivens1972[82]	6000	eberhard2020; ivens-1911; ivens-1913; daft-logic-area-calculator2014	2	ivens1972[55-70]	3	ivens1972[55-70]	3	ivens1972[127]	3	ivens1972[71-108]			2	ivens1972[22-54, 25, 109-129]	3	ivens1972[12-13, 294-304]	3	ivens1972[294-304]	3	ivens1972[24-25, 294-304, 309-310]																																																												
Sama Dilaut (Tawi-Tawi)	"The Sama Dilaut (more often known as the Bajau or Bajau Laut) are one of the ethnic groups of Southeast Asia known as the 'Sea Gypsies'. Linguistically, they are a subset of the Sama ethnic group of the Southern Philippines, most of which are settled and heavily Islamised. Historically, the Sama Dilaut ('Sama of the Sea') have been distinguishable from other Sama on the basis of their maritime mode of life and lesser degree of Islamisation. Today, virtually all Sama Dilaut are mainstream Muslims, and most are settled. However, the Sama Dilaut of the Tawi-Tawi islands maintained their traditional religion and lifestyle until the 1970s. 

Re: Ethonyms applied to this group:

""From the time the Sama Dilaut first appeared into the literature, confusion has reigned regarding their name. Their autonym is 'Sama' and if they need to distinguish themselves from the shore-dwelling Sama people, they call themselves 'Sama Dilaut' ('Sama of the Sea'). In eastern Borneo, other people call all Sama people 'Bajau' and the Sama Dilaut are called 'Bajau Laut' (""Bajau of the sea""). 'Bajau' is apparently an Indonesian name name for boat-dwelling people that was transferred to the Sama people in Borneo, both land-dwelling and boat-dwelling. In the Sulu Archipelago, 'Bajau' is commonly used by outsiders for the Sama Dilaut, but not for other Sama people.  The earliest visitors to Sulu referred to the Sama Dilaut as 'Bajau' and that name became established in the ethnographic literature for the full-time and part-time boat-dwelling Samal of Sulu. I followed that tradition and referred to the Sama Dilaut as 'Bajau' in previous publications. I was always uncomfortable about doing so and in recent years have become increasingly so ... It is time for 'Sama Dilaut' to become established in the ethnographic literature as the name for the sea-dwelling Sama people of the Sulu archipelago and eastern Borneo."" (Nimmo, 2001, pp 1-2)"	cent2092	1965	nimmo2001[1]; nimmo1990a[3]; nimmo1990b[196-197]	1	nimmo2001[139-182, 141-142]	0	nimmo2001[139-182]	0	nimmo2001[139-182]	3	nimmo2001[139-182, 143-144, 155]	1	nimmo2001[139-182, 142, 145-146]	1	nimmo2001[143-144]			2	nimmo2001[141]	1	nimmo2001[144]	0	nimmo2001[143-145, 179-182]	1	nimmo2001[34, 139-182]	1	nimmo2001[143, 174-175]	0	nimmo2001[104-182]	1	nimmo2001[174-175]	0	nimmo2001[81-103, 139-182]			0	blevins2008			0	blevins2008	0	blevins2008	2	bellwood_1995[109]	1	nimmo2001[213]; nimmo1990b[197-198]	1	cribb2000[Map 2.21]; nimmo2001[139-182]	1	nimmo2001[38]	2	nimmo2001[139]; nimmo1990b[197]	0	nimmo2001[38]	1374	nimmo2001[19]; daft-logic-distance-calculator2014	119.8	nimmo2001[19]; google-mapsnone	5.1	nimmo2001[19]; google-mapsnone	4	nimmo2001[19, 43-46]	2	tawi-tawi2012			620	daft-logic-area-calculator2014	1	nimmo2001[84, 144, 174-175]	0	nimmo2001[146-182]; sather1997[62]	2	nimmo2001[139-182, 151]	3	nimmo2001[167]	2	nimmo1990b[168, 172-174]	0	nimmo2001[37-38, 168-182]	0	nimmo2001[37-38, 168-182]	0	nimmo2001[37-38, 168-182]	2	nimmo2001[168, 171-172]	1600	nimmo2001[21]	1	sather1993[33]	1	sather1993[33]	3	sather1993[33]	5	sather1993[33]	3	sather1993[33]	2	nimmo2001[127]; sather1993[34]	4	nimmo2001[129]; sather1993[34]	4	sather1993[34]	4	sather1993[34]; nimmo2001[218]			0	nimmo2001[102]; sather1997[96]	1	sather1997[96]	1	nimmo2001[39, 100, 102]	0	sather1997[96]	1	nimmo2001[39, 100-102]	2	nimmo2001[81, 99-100, 102]	3	nimmo2001[81, 83, 85-98, 102]	3	nimmo2001[81, 83, 85-98, 102]	3	nimmo2001[39, 102]	3	nimmo1990b[196-197]	0	nimmo1990b[196-197]	3	nimmo1990b[196-197]	0	nimmo1990b[196-198]			3	nimmo2001[218]; nimmo1990b[196]					2	nimmo2001[213]; nimmo1990b[196]	2	nimmo2001[227]	2	nimmo1965[227]	2	nimmo2001[220-221]	2	nimmo2001[220]	1	nimmo2001[221, 227]	3	nimmo2001[213]; nimmo1990b[196]	1	nimmo2001[218]; nimmo1990b[196]	2014						2	nimmo2001[232]
Samoa	Samoa is a group of large, volcanic islands in western Polynesia. In pre-Christian times, Samoans believed in a range of supernatural beings. Pan-Polynesian gods such as Tagaloa, conceived as the creator of the world in Samoa, were present. Beings called aitu, which had more local powers and, according to the interpretation of Cain (1971), were the spirits of miscarried or aborted children. Today, Samoans are overwhelmingly Christian, the largest denominations being Protestant.	samo1305	1830	turner1884[2-3]; stair1897[22, 79]; cain1971	2	stair1897[210-241]; turner1884[16-77]	1	stair1897[210-241]; turner1884[3-77]	2	stair1897[210-211]; cain1971[174]	1	stair1897[210-241]; turner1884[16-77]	1	stair1897[210-241]; turner1884[3-77]	1	stair1897[223-224]	1	turner1884[3-15]	1	stair1897[211-214]	0	stair1897[217-218]	0	stair1897[217-218]	1	stair1897[210-241]; turner1884[16-77]	1	stair1897[238]	1	stair1897[121-122, 127-128]	1	cain1971[176]	1	meleisea1987[9]	2	schoeffel1978[70-71]	1	schoeffel1978[70-71]	3	schoeffel1978[70-71]	1	schoeffel1978[71]; keesing1934[146]	1	schoeffel1978[70-71]	0	bellwood_1995[109]	1	bargatzky1991[286-287]	0	cribb2000[Map 2.21]	1	gunson1990[179]	0	cribb2000[Map 2.23]	366.7	daft-logic-distance-calculator2014	3803	daft-logic-distance-calculator2014	-171.8	keesing1934[19]; google-mapsnone	-13.9	keesing1934[19]; google-mapsnone	4	stair1897[21]	2	bargatzky1991[286]	1100	upolu2019	1091	upolu2019	1	stair1897[234-235]	0	stair1897[210-258]; turner1884[16-77, 189-197]	3	stair1897[56-102, 210-241]; hanson1973[3]	3	stair1897[83-84, 210-241]	2	turner1884[81]	0	turner1884[78-104]	2	turner1884[88-89]; stair1897[157-158]	1	buck1930[658]; turner1884[78-104]	0	buck1930[627-628]; turner1884[78-104]	50000	pirie-1963; 2007green	2	bargatzky1991[288]	3	bargatzky1991[288]	3	bargatzky1991[288]	3	bargatzky1991[288]	4	bargatzky1991[288]	3	stair1897[56-102]; 2007green	4	turner1884[59]	1	stair1897[242-243]	4	turner1884[188-196]; stair1897[242-258]	0	buck1930	2	buck1930[119, 127]	2	buck1930[119, 127, 523-544]	1	buck1930[127-128, 546-551, 546]	2	buck1930[119, 127, 523-544]	4	buck1930[127-128]; bargatzky1991[287]	2	buck1930[119, 127, 136, 418]	3	buck1930[418-522]	3	buck1930[119, 127, 418]	0	bargatzky1991[287]	1	gilson1970[74-76]	0	gilson1970[69-114]	3	bargatzky1991[287-288]	2	bargatzky1991[287]	1	freeman1958[4-13, 19, 21-22]; central-intelligence-agency-samoa2014; central-intelligence-agency-american-samoa2014	0	meleisea1987[31, 43, 106-107, 120-121, 129, 150, 156-170]; central-intelligence-agency-american-samoa2014; central-intelligence-agency-samoa2014	1	creevey-et-al-2021; foster2021	3	central-intelligence-agency-american-samoa2014; central-intelligence-agency-samoa2014; creevey-et-al-2021; foster2021	2	creevey-et-al-2021; foster2021; central-intelligence-agency-samoa2014; meleisea1987	2	creevey-et-al-2021; foster2021; keighley2006[113]	2	bargatzky1991[287]; creevey-et-al-2021	2	foster2021; creevey-et-al-2021	2	foster2021; creevey-et-al-2021	1	foster2021; creevey-et-al-2021	3	bargatzky1991[287]	0	meleisea1987[42, 64-88]	2014				2	vaai2012[79-80]	1	central-intelligence-agency-american-samoa2014; central-intelligence-agency-samoa2014
Savu		sabu1255	1860	fox1977[165]	2	fox1972[79-80]	2	kana1980[229-230]; fox1977[85]	0		2	fox1972[80]	2	fox1979[165]	1	fox1972[80]	1		0		1	fox1972[80]	1	kana1980[225]; fox1972[80]	0		1	kana1980[224, 229-230]	1		1	duggan2011[114]	0		0		0	blevins2008; blust2007; keesing1984	0		0	blevins2008; blust2007; keesing1984	0	blevins2008; blust2007; keesing1984; kana1980[229]	2	bellwood_1995[109]	1	fox1972[78]; fox1977[166]	1	cribb2000[Map 2.21]	1	fox1977[160-165]	1	fox1977[166]	77	daft-logic-distance-calculator2014	568	daft-logic-distance-calculator2014	121.9	fox1977[5]; google-mapsnone	-10.5	fox1977[5]; google-mapsnone	2	fox1979[145]	3		250	fox1972[78]	697	fox1972[77]	1	fox1979[163]	0	fox1972[79]	2	fox1977[85-87]	4	fox1977[152]	1	fox1972[80]	0	fox1972[80]	0	fox1977[86, 88, 121, 123]	0	fox1977[86, 88, 121, 123]	1	fox1977[121]; fox1972[80]	30000	fox1977[168]	2	fox1972[78-79]	2	fox1972[78-79]	1	lebar1972[79]	3	lebar1972[79]			3	fox1972[77, 79]; fox1977[168]	4		2	fox1972[79]	4	fox1979[160-165]; fox1972[78-79]			3	fox1972[78]; fox1977[35-38, 41-46]	1	fox1972[77]	4	fox1977[23-24]; fox1972[78]	1	fox1972[77]	3	fox1977[23-24, 29-30]; fox1972[78]	2	fox1977[28]; fox1979[152]	2	fox1977[78]	2	fox1972[78]	0	fox1977[17-57]; fox1972[78]			0	fox1977[165-176]	2	sawu-islands2013	2	fox1977[166, 172-174]	0	fox1977[165-176]; fox1972[79]					2		2	fox1972[79]	2	sawu-islands2013	2	sawu-islands2013	2	sawu-islands2013	0		0		2		0		2014		1		1		1	sawu-islands2013
