ID,Language_ID,Parameter_ID,Value,Code_ID,Comment,Source
173,marshall-islands,54,0,54-0,,23[420];24[144];234
142,moken,51,0,51-0,,
164,moken,87,2,87-2,,
166,moken,88,2014,,,149
169,moken,91,2,91-2,,
170,moken,92,2,92-2,,
148,moken,71,2,71-2,,
149,moken,72,3,72-3,,
155,moken,78,1,78-1,,
156,moken,79,1,79-1,,100[156];39
157,moken,80,0,80-0,,
134,moken,64,0,64-0,,"34[48f, 64f, 200f, 232f, 240f]"
136,moken,66,1,66-1,,"34[199-239, 200f]"
10993,ata-tana-aai,71,0,71-0,,
345,hawaiians,79,1,79-1,,100[176];81
346,hawaiians,80,2,80-2,,81
219,lifou,44,0,44-0,,59
10801,landdayak,24,2,24-2,,167[195]
409,Maohi,61,0,61-0,,"122[47-122, 375-408]"
221,lifou,46,2,46-2,,59
1027,ontong-java,8,8,,,220[1]
209,lifou,34,1,34-1,,59
220,lifou,45,1,45-1,,59
179,lifou,4,1515,,,123
180,lifou,5,-21,,,2
181,lifou,6,167.2,,,2
182,lifou,7,1,7-1,,61[3]
183,lifou,8,1150,,,666[65]
184,lifou,9,85,,,666
194,lifou,19,0,19-0,,15[109]
178,lifou,3,47.6,,,123
195,lifou,20,0,20-0,,14[Map 2.21]
206,lifou,31,2,31-2,,66[67-103]
2183,motu,51,1,51-1,,413[54]
1028,ontong-java,9,2,,,222[3]
1526,kiribati,73,3,73-3,,276
177,lifou,2,1,2-1,,59;2
237,lifou,92,2,92-2,,
1719,kedang,68,0,68-0,,"343[16-17, 143-209]"
449,Maohi,79,1,79-1,,1790
283,hawaiians,17,3,17-3,,80[68];138[317]
228,lifou,64,1,64-1,,59[254];66[175-222]
245,lifou,54,0,54-0,,23;24;234[255]
236,lifou,91,1,91-1,,
246,lifou,55,0,55-0,,23;24;234[255]
247,lifou,56,0,56-0,,23;24;234[255]
240,lifou,49,1,49-1,,59
241,lifou,50,1,50-1,,66[201]
10787,landdayak,19,2,19-2,,15[109]
242,lifou,51,1,51-1,,66[65-66]
231,lifou,67,0,67-0,,59[254]
232,lifou,68,0,68-0,,59[254];66[175-222]
203,lifou,28,2,28-2,,59
792,tanna,6,169.4,,,1219[313];2
21308,siraya,30,2,30-2,,1894[10-11]
2489,rennell,84,1,84-1,,457[16-17];462
191,lifou,16,4,16-4,,59
233,lifou,88,2014,,,149
5961,dobuans,30,2,30-2,,1030[50];1033[69-70]
10495,Pohnpei,28,3,28-3,,1481[73]
297,hawaiians,31,1,31-1,,80[68]
256,lifou,77,2,77-2,,982
257,lifou,78,2,78-2,,62[228]
308,hawaiians,42,1,42-1,,"88[125, 140-141, 164-165]"
894,mare,69,3,69-3,,982;61[75-78]
8689,south_pentecost,23,3,23-3,,1344[250];1347[262]
2391,tikopia,77,1,77-1,,450
229,lifou,65,0,65-0,,59[254]
230,lifou,66,1,66-1,,59[254];66[175-222]
2394,tikopia,80,0,80-0,,450
251,lifou,72,2,72-2,,1764
9919,erromango,79,0,79-0,,1426
7081,kaoka,4,1724,,,1814[24];123
7082,kaoka,17,1,17-1,,1224[47-50]
7083,kaoka,19,2,19-2,,15[109]
795,tanna,9,1084,,,188
21309,siraya,31,0,31-0,,1894[10-12]
285,hawaiians,19,0,19-0,,79[1];15[109]
305,hawaiians,39,1,39-1,,"85[190-167-192, 201-202, 226-227]"
330,hawaiians,54,1,54-1,,88[99-100]
296,hawaiians,30,3,30-3,,79[2-3]
271,hawaiians,5,19.6,,,2
272,hawaiians,6,-155.5,,,2
273,hawaiians,7,2,7-2,,79[24]
268,hawaiians,2,4,2-4,,80[6]
258,lifou,79,1,79-1,,62[228]
259,lifou,80,1,80-1,,74[874]
326,hawaiians,50,1,50-1,,"88[89, 149, 165-166]"
327,hawaiians,51,1,51-1,,84[150]
331,hawaiians,55,1,55-1,,87[46];24[146];88[98-99]
332,hawaiians,56,1,56-1,,87[46];88[98-99]
333,hawaiians,57,1,57-1,,88[99-100]
286,hawaiians,20,0,20-0,,14[Map 2.21]
287,hawaiians,21,0,21-0,,14[Map 2.23]
7085,kaoka,21,0,21-0,,14[Map 2.23]
21350,siraya,34,1,34-1,,1894[24]
252,lifou,73,3,73-3,,62[40]
266,lifou,87,0,87-0,,61[39-45];72[171-206]
261,lifou,82,1,82-1,,61[35-45]
262,lifou,83,0,83-0,,61[36-45]
263,lifou,84,1,84-1,,61[36-45]
334,hawaiians,58,3,58-3,,"92[38];88[99, 147]"
320,hawaiians,65,1,65-1,,90[21-24]
321,hawaiians,66,1,66-1,,"90[9, 24];158[64-117]"
323,hawaiians,68,0,68-0,,158[64-117]
274,hawaiians,8,10458,,,79[25]
319,hawaiians,64,1,64-1,,90[81-95];158[64-117]
275,hawaiians,9,4206,,,79[25]
353,hawaiians,87,0,87-0,,"1524[51-82];259[72, 98-104]"
10999,ata-tana-aai,88,2014,,,149
339,hawaiians,73,3,73-3,,177[52]
354,hawaiians,88,2014,,,149
364,Maohi,5,-17.6,,,158[7];2
365,Maohi,6,-149.4,,,158[7];2
805,nendo,4,2053,,,1202[290];123
700,atoni,54,0,54-0,,23;166;234
5857,eastern-toraja,28,1,28-1,,"993[283-365, 580]"
356,hawaiians,90,1,90-1,,81
357,hawaiians,91,1,91-1,,
358,hawaiians,92,1,92-1,,
368,Maohi,9,2237,,,"158[7, 12]"
797,tanna,4,1793,,,346[11];123
386,Maohi,27,1,27-1,,122[278-281]
489,marshall-islands,87,0,87-0,,12[197-210];1153
2383,tikopia,69,2,69-2,,1585[324];450
439,moken,61,0,61-0,,31;27
362,Maohi,3,188.8,,,123;1728
378,Maohi,19,0,19-0,,15[109]
10884,kwaraae,2,1,2-1,,1498[15]
379,Maohi,20,0,20-0,,14[Map 2.21]
380,Maohi,21,0,21-0,,14[Map 2.23]
434,manam,44,0,44-0,,1578[109]
416,Maohi,68,0,68-0,,"122[152-161, 431-445]"
413,Maohi,65,0,65-0,,"122[152-161, 431-445]"
414,Maohi,66,1,66-1,,"122[157, 431-445]"
366,Maohi,7,2,7-2,,"158[7, 12]"
419,Maohi,50,1,50-1,,
448,Maohi,78,2,78-2,,1790
490,marshall-islands,2,4,2-4,,956[1];2
443,Maohi,73,3,73-3,,1790
1527,kiribati,74,2,74-2,,276
385,Maohi,26,1,26-1,,122[278-281]
491,marshall-islands,3,307.4,,,6;123
492,marshall-islands,4,3048,,,956;123
21116,kei,69,3,69-3,,1878[37-44]
476,marshall-islands,74,2,74-2,,1151[192]
481,marshall-islands,79,1,79-1,,1154
479,marshall-islands,77,2,77-2,,1151[192]
10885,kwaraae,5,-8.7,,,1498[15];2
10886,kwaraae,6,160.8,,,1498[15];2
482,marshall-islands,80,2,80-2,,1154
465,marshall-islands,88,2014,,,149
473,marshall-islands,71,0,71-0,,21
467,marshall-islands,90,1,90-1,,21;1154
1701,kedang,54,0,54-0,,23;24;234
471,marshall-islands,69,3,69-3,,1151[192]
480,marshall-islands,78,2,78-2,,21;1154
468,marshall-islands,91,2,91-2,,
463,marshall-islands,51,0,51-0,,"956[29-44, 71-102, 230-283]"
21117,kei,70,0,70-0,,1878[37-44]
496,marshall-islands,8,12.9,,,6
441,Maohi,70,2,70-2,,171[18]
495,marshall-islands,7,1,7-1,,957[3]
457,Maohi,88,2020,,,1790
800,nendo,5,-10.7,,,1202[290];2
2096,kwaio,81,2,81-2,,395[S125];387[84-89]
801,nendo,6,165.9,,,1202[290];2
802,nendo,7,2,7-2,,1202[290]
508,marshall-islands,19,0,19-0,,15[109]
509,marshall-islands,20,0,20-0,,14[Map 2.21]
11258,cheke-holo,56,0,56-0,,23;24;234;1512[37-38]
11259,cheke-holo,57,0,57-0,,
11260,cheke-holo,58,0,58-0,,
510,marshall-islands,21,0,21-0,,14[Map 2.23]
615,trobriand-islands,71,0,71-0,,941;952[20];145[20]
9137,yap,79,1,79-1,,100[178]
5029,tanimbar,31,2,31-2,,838[113]
539,marshall-islands,65,1,65-1,,956[15-24]
519,marshall-islands,31,3,31-3,,1787[146-201];6
803,nendo,8,506,,,666[64]
804,nendo,9,550,,,666[64]
5599,kayan,27,2,27-2,,970[14];167[169];968[143-144]
11941,ami,54,0,54-0,,23;234;24
541,marshall-islands,67,0,67-0,,956[15-24];963[11]
570,trobriand-islands,24,2,24-2,,136[27]
571,trobriand-islands,25,2,25-2,,133[681];136[26-28]
542,marshall-islands,68,0,68-0,,956[15-24]
554,trobriand-islands,9,46,,,128
547,trobriand-islands,2,4,2-4,,145[10]
563,trobriand-islands,17,1,17-1,,129[29-31];145[10]
551,trobriand-islands,6,151.1,,,145[10];2
552,trobriand-islands,7,1,7-1,,145[11]
10251,futuna-west,3,24.7,,,1454[iii];123
905,mare,80,1,80-1,,62[215]
1702,kedang,55,0,55-0,,23;24;234
2776,simbo,90,1,90-1,,532[240]
2777,simbo,91,2,91-2,,544[252-253]
2915,tsou,38,0,38-0,,173[25-36];1267[37]
5595,kayan,23,4,23-4,,968[97];167[169]
574,trobriand-islands,28,2,28-2,,136[27]
10850,landdayak,90,1,90-1,,1551[513]
589,trobriand-islands,44,0,44-0,,934
562,trobriand-islands,16,3,16-3,,133[663-669];129
575,trobriand-islands,29,1,29-1,,129[67-68];130[7];136[27]
717,atoni,80,2,80-2,,748[171]
14772,manihiki-rakahanga,25,0,25-0,,1604[83-84]
595,trobriand-islands,49,1,49-1,,129[54-55]
604,trobriand-islands,61,0,61-0,,129[66]
611,trobriand-islands,68,0,68-0,,"133[663, 704-709]"
600,trobriand-islands,54,0,54-0,,23;24;234
601,trobriand-islands,55,0,55-0,,23;24;234
602,trobriand-islands,56,0,56-0,,23;24;234
578,trobriand-islands,59,1,59-1,,129[49-78]
822,mare,2,1,2-1,,197[12-13]
5592,kayan,21,1,21-1,,14[Map 2.23];969[13]
607,trobriand-islands,64,0,64-0,,133[663]
608,trobriand-islands,65,0,65-0,,133[663]
609,trobriand-islands,66,1,66-1,,940[175];133[704-709]
610,trobriand-islands,67,0,67-0,,"133[663, 704-709]"
625,trobriand-islands,82,2,82-2,,955[33]
655,atoni,21,1,21-1,,150[20]
4632,fijians,71,3,71-3,,1782
810,kedang,6,123.8,,,343[8];2
12039,dusun,94,1,94-1,,1527[80];1593[213]
619,trobriand-islands,75,2,75-2,,943[63];145[24]
622,trobriand-islands,78,1,78-1,,952[146]
1102,eastern-sumbanese,80,1,80-1,,170
662,atoni,27,0,27-0,,150[40-91]
664,atoni,29,0,29-0,,150[40]
2393,tikopia,79,0,79-0,,450
811,kedang,7,2,7-2,,734[243]
812,kedang,8,1292,,,190
813,kedang,9,1644,,,190
16405,maori,141,3,141-3,,1156[177]
631,atoni,5,-9.7,,,150[18];2
809,kedang,5,-8.2,,,343[8];2
4928,berawan,63,2,63-2,,819[133]
2880,tsou,9,3952,,,376[300]
825,mare,5,-21.5,,,197[12];2
826,mare,6,168,,,197[12];2
634,atoni,9,2963,,,1497
322,hawaiians,67,2,67-2,,157[430-431];158[80-81]
814,motu,2,1,2-1,,1216[212]
11946,ami,69,3,69-3,,562[117]
669,atoni,90,1,90-1,,"160[49, 57];829[113]"
671,atoni,92,2,92-2,,
632,atoni,6,124.3,,,150[18];2
14774,manihiki-rakahanga,27,0,27-0,,1604[83-84]
661,atoni,26,0,26-0,,150[49-91]
1018,eastern-sumbanese,55,1,55-1,,234
1392,ontong-java,84,3,84-3,,
638,ontong-java,3,50,,,123
635,atoni,4,454,,,150[18];123
2026,kwaio,20,0,20-0,,14[Map 2.21]
2027,kwaio,21,0,21-0,,14[Map 2.23]
5588,kayan,17,1,17-1,,"968[151-157];167[169, 170]"
665,atoni,30,0,30-0,,150[40]
11942,ami,55,0,55-0,,23;234;24
11943,ami,56,0,56-0,,23;234;24
679,atoni,64,1,64-1,,161[65];153[81]
663,atoni,28,0,28-0,,150[40-91]
666,atoni,31,0,31-0,,150[50]
673,atoni,88,2014,,,149
670,atoni,91,1,91-1,,
712,atoni,87,0,87-0,,160;747[28]
716,atoni,79,1,79-1,,100[162];830[105]
680,atoni,65,0,65-0,,150
14778,manihiki-rakahanga,31,0,31-0,,1604[83-146]
1007,subanun,74,2,74-2,,212[245]
681,atoni,66,0,66-0,,150
682,atoni,67,1,67-1,,153[81]
683,atoni,68,0,68-0,,150;153
653,atoni,19,2,19-2,,15[109]
819,motu,7,4,7-4,,401[835]
817,motu,5,-9.5,,,1216[212];2
6948,lau,65,1,65-1,,1220[126-127]
705,atoni,77,2,77-2,,"151[6, 19];150[327]"
718,atoni,71,0,71-0,,747[27];829[112]
5721,kelabit,87,0,87-0,,"949[8-9];946[429-430, 458-490]"
10854,kwaraae,64,0,64-0,,
10855,kwaraae,65,0,65-0,,
708,atoni,83,0,83-0,,
709,atoni,84,3,84-3,,
818,motu,6,147.1,,,1216;2
719,atoni,72,2,72-2,,747[27]
1006,subanun,73,3,73-3,,213[39]
774,samoan,7,2,7-2,,1155[286]
775,samoan,8,1091,,,250
776,samoan,9,1100,,,250
788,samoan,21,0,21-0,,14[Map 2.23]
701,atoni,55,0,55-0,,23;24;234
702,atoni,56,0,56-0,,23;24;234
703,atoni,58,0,58-0,,
16983,waropen,143,0,143-0,,571[15]
720,atoni,73,2,73-2,,830[106]
725,eastern-sumbanese,4,694,,,1294[4];123
6018,dobuans,88,2014,,,149
6022,dobuans,92,2,92-2,,1029[140-142]
721,atoni,74,2,74-2,,747[28]
5858,atayal,94,1,94-1,,173[5];564[104]
765,eastern-sumbanese,90,1,90-1,,323[91];176[153]
6950,lau,67,0,67-0,,1220[125-127]
753,eastern-sumbanese,24,1,24-1,,"1294[14-17, 15]"
754,eastern-sumbanese,26,1,26-1,,1294[16]
755,eastern-sumbanese,27,1,27-1,,1294[16]
723,eastern-sumbanese,2,1,2-1,,1294[3]
747,eastern-sumbanese,19,2,19-2,,15[109]
828,mare,8,650,,,197[12]
729,eastern-sumbanese,9,1220,,,170
824,mare,4,1566,,,123
829,mare,9,138,,,197[13]
827,mare,7,1,7-1,,197[13]
884,mare,65,1,65-1,,"197[25-92, 267]"
1646,chuuk,80,2,80-2,,340
823,mare,3,47,,,123
8114,yap,77,2,77-2,,1392[407]
1005,subanun,72,1,72-1,,
763,eastern-sumbanese,88,2014,,,149
10856,kwaraae,68,0,68-0,,
4162,lakalai,66,2,66-2,,699[25];693[447]
867,mare,45,1,45-1,,"197[293, 295]"
760,eastern-sumbanese,25,2,25-2,,1294[15]
756,eastern-sumbanese,28,3,28-3,,1294[15-16]
882,mare,63,4,63-4,,197[287-342]
761,eastern-sumbanese,30,3,30-3,,1294[15-16]
2408,rennell,2,1,2-1,,457[8]
898,mare,73,3,73-3,,62[40]
786,samoan,19,0,19-0,,15[109]
787,samoan,20,0,20-0,,14[Map 2.21]
1042,ontong-java,19,0,19-0,,15[109]
899,mare,74,2,74-2,,70;70;77[1583-1589]
885,mare,66,1,66-1,,"197[25-92, 101]"
861,mare,39,0,39-0,,193;197[287-342]
845,mare,24,3,24-3,,197[123-158]
8115,yap,78,2,78-2,,1302[275];1392[407]
849,mare,28,0,28-0,,61[8];197[123-165]
852,mare,31,1,31-1,,"197[123-165, 247]"
14770,manihiki-rakahanga,23,3,23-3,,1604[83-84]
850,mare,29,1,29-1,,61[8]
851,mare,30,1,30-1,,61[8]
10515,Pohnpei,90,1,90-1,,340
846,mare,25,0,25-0,,197[164-167]
847,mare,26,2,26-2,,197[161-162]
848,mare,27,1,27-1,,197[161]
872,mare,50,1,50-1,,197[29]
2727,simbo,36,2,36-2,,533
1043,ontong-java,20,0,20-0,,14[Map 2.21]
770,samoan,3,366.7,,,123
1044,ontong-java,21,0,21-0,,14[Map 2.23]
840,mare,19,0,19-0,,15[109]
876,mare,54,0,54-0,,197[295-297];23;24;234[255]
877,mare,55,0,55-0,,197[295-297];23;24;234[255]
878,mare,56,0,56-0,,197[295-297];23;24;234[255]
873,mare,51,1,51-1,,
896,mare,71,0,71-0,,75[122]
10284,tetum,91,1,91-1,,
1400,palawan-batak,6,119.1,,,303[ii (map)];2
886,mare,67,2,67-2,,197[55]
887,mare,68,0,68-0,,197[25-92]
900,mare,75,3,75-3,,77[1583-1589]
897,mare,72,1,72-1,,1764
1395,ontong-java,87,0,87-0,,298[21-64]
841,mare,20,0,20-0,,14[Map 2.21]
868,mare,46,1,46-1,,197[308]
869,mare,47,0,47-0,,197[308]
842,mare,21,0,21-0,,14[Map 2.23]
888,mare,88,2014,,,149
890,mare,90,1,90-1,,62[215]
891,mare,91,1,91-1,,
892,mare,92,2,92-2,,
883,mare,64,1,64-1,,"197[25-92, 103, 272]"
902,mare,77,1,77-1,,194
903,mare,78,2,78-2,,62[216]
904,mare,79,0,79-0,,
9782,Seniang,25,1,25-1,,1422[16-17]
6947,lau,64,1,64-1,,1220[125-126]
10287,tetum,88,2014,,,149
344,hawaiians,78,2,78-2,,180[24]
1050,ontong-java,25,0,25-0,,230[95-100];227
919,subanun,8,94630,,,986
920,subanun,9,2954,,,986
915,subanun,4,1484,,,210[11-13];123
931,subanun,19,2,19-2,,15[109]
932,subanun,20,2,20-2,,210[90]
940,subanun,28,1,28-1,,210[33-49]
914,subanun,3,0,,,210[11-13]
941,subanun,29,1,29-1,,210[41]
913,subanun,2,1,2-1,,210[11-13]
916,subanun,5,7.1,,,210[11-13];2
917,subanun,6,122.1,,,210[11-13];2
18746,alune,69,3,69-3,,1805[40]
2420,rennell,62,0,62-0,,
18747,alune,70,2,70-2,,1805[40]
962,subanun,49,0,49-0,,
964,subanun,51,1,51-1,,
967,subanun,54,0,54-0,,23;24;234[262]
968,subanun,55,0,55-0,,23;24;234[262]
969,subanun,56,0,56-0,,23;24;234[262]
1948,puyuma,31,0,31-0,,373[203-217]
974,subanun,65,0,65-0,,208[27-28]
973,subanun,64,0,64-0,,208[27]
959,subanun,46,0,46-0,,210[93-104]
943,subanun,31,1,31-1,,"210[41, 43-46]"
929,subanun,17,1,17-1,,212[244];210[11-32]
937,subanun,25,1,25-1,,210[33-49];208[21]
942,subanun,30,2,30-2,,"210[41, 48]"
1051,ontong-java,26,1,26-1,,230[95-100];227
14773,manihiki-rakahanga,26,1,26-1,,"1604[83-84, 90]"
1744,manggarai,27,3,27-3,,320[6]
5915,palawan-batak,73,2,73-2,,304[7-8]
5914,palawan-batak,72,2,72-2,,
963,subanun,50,1,50-1,,216[88];210[66]
1745,manggarai,28,2,28-2,,320[6]
1052,ontong-java,27,0,27-0,,230[95-100];227
1021,eastern-sumbanese,58,0,58-0,,23;24;234
1748,manggarai,31,0,31-0,,320[6-8]
978,subanun,88,2014,,,149
980,subanun,91,2,91-2,,
981,subanun,92,1,92-1,,
6949,lau,66,1,66-1,,1220[125]
6951,lau,68,0,68-0,,1220[125-127]
1947,puyuma,30,2,30-2,,373[207]
3215,biak,56,0,56-0,,23;24;234
977,subanun,68,0,68-0,,208[27-28]
960,subanun,47,0,47-0,,210[93-104]
1047,eastern-sumbanese,68,0,68-0,,1294[155-170]
9786,Seniang,29,2,29-2,,"1422[16, 189-191]"
1015,subanun,87,0,87-0,,
1022,ontong-java,2,1,2-1,,220[1];2
1026,ontong-java,7,1,7-1,,223[253]
5732,kelabit,88,2014,,,149
1010,subanun,77,2,77-2,,212[244]
1011,subanun,78,0,78-0,,
1012,subanun,79,1,79-1,,
1013,subanun,80,0,80-0,,
1091,ontong-java,68,0,68-0,,235
5917,palawan-batak,75,2,75-2,,305[205];299[52-102];304[8]
1000,eastern-sumbanese,51,0,51-0,,"1294[14-17, 66-132]"
1020,eastern-sumbanese,57,0,57-0,,23;24;234
2309,futuna,88,2014,,,149
9787,Seniang,30,1,30-1,,"1422[16, 189-191]"
5502,kelabit,2,1,2-1,,949[5];900
1004,subanun,71,1,71-1,,
5508,kelabit,6,115.5,,,949[Map 1];2
1053,ontong-java,28,1,28-1,,230[95-100];227
6953,lau,45,1,45-1,,"1220[126, 135-137]"
6954,lau,46,0,46-0,,1222[98]
1669,kedang,19,2,19-2,,15[109]
5919,palawan-batak,77,2,77-2,,299[71]
11970,dusun,105,2,105-2,,1527[81]
16549,landdayak,141,1,141-1,,1491[162]
5503,kelabit,3,0,,,949[5];900
5504,kelabit,4,1046,,,900;123
1003,subanun,70,0,70-0,,210[11-32]
1059,ontong-java,34,1,34-1,,231
1017,eastern-sumbanese,54,0,54-0,,23;24;234
1076,ontong-java,51,0,51-0,,"230[95-100, 143-165]"
1079,ontong-java,54,0,54-0,,23;24;234
1080,ontong-java,55,0,55-0,,23;234;24
1081,ontong-java,56,0,56-0,,23;234;24
1019,eastern-sumbanese,56,1,56-1,,234
994,eastern-sumbanese,46,2,46-2,,1294[83]
1088,ontong-java,65,0,65-0,,235
1099,eastern-sumbanese,77,2,77-2,,170
1100,eastern-sumbanese,78,2,78-2,,
1101,eastern-sumbanese,79,1,79-1,,170
1109,eastern-sumbanese,73,3,73-3,,
11971,dusun,106,2,106-2,,1527[81]
9797,Seniang,70,0,70-0,,1580[164]
1095,eastern-sumbanese,72,2,72-2,,
1096,eastern-sumbanese,74,2,74-2,,884[612];874[239];323[83]
1097,eastern-sumbanese,75,2,75-2,,323[82-83]
1093,eastern-sumbanese,70,2,70-2,,874[217];884[612]
1105,eastern-sumbanese,84,2,84-2,,
1090,ontong-java,67,0,67-0,,235
1111,Maohi,72,2,72-2,,1790
7258,arosi,6,161.3,,,1247[41]
1082,ontong-java,59,2,59-2,,"230[93-94, 166-168, 210-231]"
5724,subanun,23,4,23-4,,210[41]
1084,ontong-java,61,0,61-0,,230
1030,eastern-sumbanese,65,0,65-0,,"1294[155-170, Plates 2b-6b]"
1089,ontong-java,66,2,66-2,,235
450,Maohi,80,2,80-2,,1790
5451,roviana,87,2,87-2,,1007[4];903[119]
9144,small_islands,51,0,51-0,,
1118,nias,4,407.4,,,239[194];123
5921,palawan-batak,82,2,82-2,,
5922,palawan-batak,83,0,83-0,,
1108,eastern-sumbanese,87,0,87-0,,176
5553,marquesas,79,1,79-1,,100[176]
5554,marquesas,80,1,80-1,,
1092,eastern-sumbanese,69,3,69-3,,884[612];874[239];323[83]
1113,nias,2,4,2-4,,239[194]
1164,samoan,68,0,68-0,,252[78-104]
3259,bunun,62,0,62-0,,562[137];602[63-89]
4392,tanimbar,19,2,19-2,,15[109]
1116,nias,6,97.5,,,239[194];2
19894,aeta,1,1903,,,1859[9]
1119,nias,8,5450,,,239[194]
1120,nias,9,866,,,239[194]
1115,nias,5,1.2,,,239[194];2
10288,futuna-west,81,3,81-3,,1455[169]
440,Maohi,69,3,69-3,,171[18]
4382,tanimbar,9,120,,,837[226]
5621,kayan,49,1,49-1,,969[158];970[62]
445,Maohi,75,3,75-3,,1790
9147,small_islands,54,0,54-0,,23;24;234
9148,small_islands,56,0,56-0,,23;24;234
9149,small_islands,57,0,57-0,,
5544,marquesas,69,3,69-3,,"405[189];643[159-161, 164-165]"
1220,nias,73,3,73-3,,240[15-17]
771,samoan,4,3803,,,123
5622,kayan,50,1,50-1,,969[196-198]
5455,tanimbar,23,4,23-4,,838[112]
5927,palawan-batak,90,1,90-1,,304[7]
1182,nias,88,2014,,,149
9150,small_islands,55,0,55-0,,23;24;234
9151,small_islands,58,0,58-0,,
1194,nias,54,0,54-0,,23;24;234
1195,nias,55,0,55-0,,23;24;234
1196,nias,56,0,56-0,,23;24;234
1134,nias,19,2,19-2,,15[109]
5763,eastern-toraja,8,188522,,,709
1172,nias,24,2,24-2,,243[132-135]
1161,samoan,65,1,65-1,,246[658];252[78-104]
1162,samoan,66,0,66-0,,246[627-628];252[78-104]
1176,nias,28,1,28-1,,243[132-135];1566[47-53]
1159,samoan,59,3,59-3,,"271[56-102, 210-241];245[3]"
1185,nias,91,3,91-3,,
5811,eastern-toraja,23,4,23-4,,993[283]
5812,eastern-toraja,25,1,25-1,,993[283-365]
1219,nias,72,1,72-1,,1764
5457,tanimbar,88,2014,,,149
1142,samoan,69,3,69-3,,1155[287]
2313,futuna,92,2,92-2,,
1148,samoan,75,2,75-2,,266;267;268[113]
1152,samoan,79,1,79-1,,267;266
1970,puyuma,50,1,50-1,,"373[89-90, 148]"
1212,nias,64,0,64-0,,243[136]
2896,tsou,20,0,20-0,,"14[Maps 2.21, 2.23]"
1213,nias,65,0,65-0,,243[135-136]
