ID,Term,Definition,Source
politicalcommunity,Political community,"The largest cultural group under a common jurisdiction, or if no defined leadership is present a group that makes important decisions by consensus.",
politicalreligiousdifferentiation,Political / Religious differentiation,The extent to which political and religious leaders are distinguished from each other.,
preaustronesianpopulation,Pre-Austronesian population,A population that occupied a particular area prior to the settlement of Austronesian-speaking peoples there.,
religiousinfluence,Religious influence,Changes to a religious system that occur as a result of contact with another religious system.,
replacementlevelimmigration,Replacement-level immigration,Large-scale migration of people from non-indigenous cultures into the ancestral territory of the culture being coded resulting in a decline in the proportion of the population that is indigenous.,
resourcemanagementtapu,Resource management tapu,A tapu aimed at protecting a communally owned resource.,
rite,Rite,A ritual marking an important change of personal status.,
ritual,Ritual,a set sequence of actions performed in a manner prescribed by tradition. The causal explanation or justification for the behaviour is opaque or involves supernatural forces.,
ritualsocialunit,Ritual social unit,A group of people that conducts rituals together.,
sacrifice,Sacrifice,The presentation and forfeiting of a valuable possession or resource to a supernatural agent.,
scarification,Scarification,A bodily modification involving the deliberate infliction of permanent scars.,
seaport,Sea port,A wharf that can dock large foreign ships.,
socialhierarchytapu,Social hierarchy tapu,A tapu concerning relations or distinctions between people of differing social status.,
socialstratification,Social stratification,Marked differences in status or wealth between members of the same political community which are transmitted from one generation to another.,
supernaturalpractice,Supernatural practice,A practice motivated in whole or in part by supernatural belief.,
syncreticreligiousmovements,Syncretic religious movements,"Organised religious groups that integrate features of an indigenous religion with those of one or more world religions, but are not officially part of the world religion (s) in question.",
syncretism,Syncretism,The fusion of features from different religions.,
tapu,Tapu,"Any restriction placed around a behaviour, object or relationship, violation of which carries the implied or explicit threat of supernatural punishment.",
tattooing,Tattooing,A bodily modification involving the creation of permanent patterns on the skin that uses paint or some other permanent colouring agent.,
tectonicisland,Tectonic island,A non-volcanic oceanic island formed primarily by tectonic uplift.,
timefocus,Time focus,The point in time or period of time to which observations about a culture are applicable.,
toothpulling,Tooth pulling,Extraction of healthy teeth.,
topdownprocess,Top-down process,A process that begins with those of higher social status and spreads downward to those of lower social status.,
unofficialsyncretism,Unofficial syncretism,Syncretism that occurs outside of an institutional context and is not explicitly endorsed by a religious institution.,
useofforce,Use of force,"The use of physical violence, or the threat of physical violence, to attain a desired outcome.",
volcanichighisland,Volcanic high island,"An oceanic island, formed primarily by volcanism, that has not yet become an atoll.",
voluntary,Voluntary,Refers to a decision that is made without external force or the threat of it.,
wagelabour,Wage labour,Work that is undertaken for payment in goods or currency.,
traditionalstate,Traditional state,"For the purposes of this database a culture can be described as being in its traditional state if its supernatural belief system has not been influenced by world religions, or if despite having been influenced by world religions the supernatural belief system remains unique.",
